epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4302.01,1.50583,2.08754,1.64291,0.51031,0.44131,0.42726,0.20633,1.86869,2.11619,2.04299,0.00066497,0.00066497,0.00066497
2,7948.06,1.57389,1.7413,1.68104,0.57952,0.59841,0.57549,0.28878,1.66867,1.652,1.82094,0.00131845,0.00131845,0.00131845
3,11709.9,1.54976,1.67021,1.66361,0.62529,0.51255,0.54296,0.26681,1.77791,1.80377,2.01709,0.00195874,0.00195874,0.00195874
4,15708.2,1.51929,1.57036,1.64153,0.75585,0.61752,0.70205,0.33647,1.67836,1.52993,1.82101,0.0019406,0.0019406,0.0019406
5,3024.1,1.48244,1.49125,1.62061,0.74983,0.66666,0.73084,0.3986,1.50348,1.35327,1.65793,0.0019208,0.0019208,0.0019208
6,6216.38,1.42262,1.41138,1.57267,0.77347,0.69013,0.75294,0.41907,1.44878,1.27598,1.61978,0.001901,0.001901,0.001901
